City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
246,Mityana,UG,69.39,overcast clouds,0.4175,32.0228,Green Valley Hotel
247,Gorontalo,ID,88.02,few clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
248,Takoradi,GH,76.32,overcast clouds,4.8845,-1.7554,Raybow International Hotel
252,Larsnes,NO,64.85,overcast clouds,62.2028,5.5773,Liset Feriesenter AS
253,Westport,US,73.98,clear sky,41.1415,-73.3579,The Westport Inn
254,Hanna,CA,80.87,clear sky,51.6334,-111.9018,"West View Motel, Hanna, AB"
256,Gizo,SB,83.62,overcast clouds,-8.103,156.8419,Imagination Island
257,Chandausi,IN,81.68,overcast clouds,28.45,78.7667,GUPTA GUEST HOUSE CHANDAUSI
258,Sezimovo Usti,CZ,60.13,clear sky,49.3852,14.6848,Hotel Palcát
259,Sao Gabriel Da Cachoeira,BR,73.99,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
261,Dingle,PH,88.09,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
262,Faya,SA,65.44,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
263,Kirakira,SB,84.33,few clouds,-10.4544,161.9205,SanBiz Lodge
264,Nueva Italia De Ruiz,MX,78.62,broken clouds,19.0167,-102.1,Hotel Fiesta Nueva Italia Inn
265,Vao,NC,70.38,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
266,Mackay,AU,87.67,clear sky,-21.15,149.2,International Lodge Motel
267,Zarasai,LT,63.91,moderate rain,55.7333,26.25,Vijuandra
268,Fare,PF,78.08,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
271,Los Llanos De Aridane,ES,69.55,overcast clouds,28.6585,-17.9182,Valle Aridane
272,Muriwai Beach,NZ,64.35,overcast clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
273,Sri Aman,MY,86.7,broken clouds,1.2376,111.4621,Seri Simanggang Hotel
